"Date","Price","Open","High","Low","Vol.","Change %"
"07/31/2023","296,162","295,776","297,445","294,211","","0.18%"
"07/28/2023","295,643","291,901","296,412","291,494","","1.39%"
"07/27/2023","291,591","296,191","297,416","291,392","","-1.51%"
"07/26/2023","296,054","294,636","297,093","293,652","","0.53%"
"07/25/2023","294,484","293,645","294,950","292,844","","0.37%"
"07/24/2023","293,406","294,805","295,638","293,452","","-0.39%"
"07/21/2023","294,554","295,208","296,387","294,013","","-0.20%"
"07/20/2023","295,150","296,398","298,047","294,564","","-0.36%"
"07/19/2023","296,224","296,702","297,058","295,364","","-0.10%"
"07/18/2023","296,513","293,341","297,560","293,132","","1.07%"
"07/17/2023","293,369","292,403","294,085","291,885","","0.35%"
"07/14/2023","292,359","293,424","293,871","291,821","","-0.33%"
"07/13/2023","293,335","295,175","295,522","292,273","","-0.55%"
"07/12/2023","294,963","292,511","295,492","291,271","","0.89%"
"07/11/2023","292,366","292,666","293,746","292,023","","-0.01%"
"07/10/2023","292,400","291,378","292,873","290,622","","0.38%"
"07/07/2023","291,302","287,508","292,850","287,283","","1.37%"
"07/06/2023","287,353","287,559","290,011","286,248","","-0.02%"
"07/05/2023","287,413","288,741","290,565","287,506","","-0.40%"
"07/04/2023","288,571","288,733","289,488","288,428","","0.00%"
"07/03/2023","288,583","287,765","290,147","286,993","","0.29%"
"06/30/2023","287,747","286,146","288,290","284,941","","0.62%"
"06/29/2023","285,963","285,954","286,829","283,809","","0.04%"
"06/28/2023","285,849","286,908","287,442","285,284","","-0.32%"
"06/27/2023","286,759","288,791","289,856","286,534","","-0.57%"
"06/26/2023","288,416","288,529","290,312","288,284","","0.19%"
"06/23/2023","287,866","286,003","290,449","285,498","","0.81%"
"06/22/2023","285,556","288,821","289,186","285,704","","-1.09%"
"06/21/2023","288,699","290,524","291,289","286,846","","-0.55%"
"06/20/2023","290,302","292,527","293,851","289,466","","-0.69%"
"06/19/2023","292,323","292,427","293,731","292,063","","0.05%"
"06/16/2023","292,179","292,617","293,921","291,743","","-0.09%"
"06/15/2023","292,434","289,409","292,973","287,735","","1.09%"
"06/14/2023","289,277","288,838","292,051","288,617","","0.21%"
"06/13/2023","288,661","290,991","292,853","288,283","","-0.76%"
"06/12/2023","290,857","290,901","292,426","289,640","","0.00%"
"06/09/2023","290,854","293,149","293,498","290,379","","-0.73%"
"06/08/2023","293,000","288,621","293,506","288,592","","1.56%"
"06/07/2023","288,499","291,778","293,126","288,593","","-1.06%"
"06/06/2023","291,602","292,195","292,335","290,363","","-0.12%"
"06/05/2023","291,960","291,945","292,459","288,590","","0.04%"
"06/02/2023","291,846","296,452","297,329","291,955","","-1.50%"
"06/01/2023","296,300","294,138","297,291","292,819","","0.81%"
"05/31/2023","293,932","293,657","296,104","291,599","","0.16%"
"05/30/2023","293,463","291,046","294,250","289,456","","0.93%"
"05/29/2023","290,746","290,739","291,878","290,171","","-0.08%"
"05/26/2023","290,966","290,056","292,973","289,558","","0.31%"
"05/25/2023","290,081","291,615","293,760","289,860","","-0.47%"
"05/24/2023","291,452","293,841","295,810","291,557","","-0.77%"
"05/23/2023","293,720","293,625","294,296","290,798","","0.09%"
"05/22/2023","293,464","295,186","295,872","293,095","","-0.53%"
"05/19/2023","295,027","290,898","296,126","290,470","","1.46%"
"05/18/2023","290,790","294,601","295,237","290,160","","-1.24%"
"05/17/2023","294,435","294,783","296,633","293,554","","-0.07%"
"05/16/2023","294,634","298,429","299,115","294,247","","-1.23%"
"05/15/2023","298,291","296,729","299,286","296,073","","0.62%"
"05/12/2023","296,457","296,889","298,328","295,154","","-0.05%"
"05/11/2023","296,601","298,911","300,572","296,118","","-0.74%"
"05/10/2023","298,814","299,686","301,600","297,676","","-0.25%"
"05/09/2023","299,552","297,369","300,154","296,867","","0.78%"
"05/08/2023","297,234","295,841","298,355","295,570","","0.41%"
"05/05/2023","296,032","301,045","301,407","293,397","","-1.61%"
"05/04/2023","300,880","299,319","304,463","297,638","","0.63%"
"05/03/2023","299,011","296,407","299,675","294,870","","0.90%"
"05/02/2023","296,331","290,934","296,963","290,305","","1.89%"
"05/01/2023","290,822","292,130","294,287","290,033","","-0.32%"
"04/28/2023","291,746","292,103","292,827","289,892","","-0.15%"
"04/27/2023","292,173","294,951","295,981","290,197","","-1.02%"
"04/26/2023","295,172","296,391","298,781","294,241","","-0.32%"
"04/25/2023","296,123","295,372","297,479","293,359","","0.29%"
"04/24/2023","295,261","294,130","295,560","293,068","","0.34%"
"04/21/2023","294,262","297,471","297,754","292,691","","-0.97%"
"04/20/2023","297,155","296,016","298,792","295,488","","0.42%"
"04/19/2023","295,913","297,851","298,137","292,339","","-0.57%"
"04/18/2023","297,595","294,986","298,678","294,779","","1.00%"
"04/17/2023","294,641","294,272","297,993","293,041","","0.07%"
