"Date","Price","Open","High","Low","Vol.","Change %"
"07/31/2023","24.7700","24.3352","24.8600","24.1784","","1.81%"
"07/28/2023","24.3300","24.1277","24.4202","24.1007","","0.81%"
"07/27/2023","24.1355","24.9163","25.1584","24.0283","","-3.14%"
"07/26/2023","24.9169","24.6499","25.0466","24.5094","","0.90%"
"07/25/2023","24.6950","24.3728","24.7347","24.2838","","1.33%"
"07/24/2023","24.3700","24.6200","24.7318","24.2551","","-0.83%"
"07/21/2023","24.5740","24.7933","24.9302","24.5844","","-0.67%"
"07/20/2023","24.7400","25.1507","25.2871","24.7027","","-1.67%"
"07/19/2023","25.1600","25.0630","25.2532","24.9270","","0.32%"
"07/18/2023","25.0800","24.8300","25.1782","24.7610","","1.03%"
"07/17/2023","24.8250","24.9253","24.9552","24.5893","","-0.43%"
"07/14/2023","24.9325","24.8471","25.0361","24.6662","","0.29%"
"07/13/2023","24.8600","24.1550","24.8950","24.0900","","2.99%"
"07/12/2023","24.1375","23.1925","24.1696","23.0939","","4.48%"
"07/11/2023","23.1026","23.1774","23.4089","23.0000","","-0.05%"
"07/10/2023","23.1150","23.0886","23.1724","22.7311","","0.26%"
"07/07/2023","23.0550","22.7253","23.1646","22.5993","","1.39%"
"07/06/2023","22.7400","23.1583","23.2715","22.5220","","-1.58%"
"07/05/2023","23.1050","22.9583","23.3214","22.7511","","0.68%"
"07/04/2023","22.9500","22.9096","23.0774","22.8610","","0.29%"
"07/03/2023","22.8835","22.7785","23.0833","22.6886","","0.58%"
"06/30/2023","22.7521","22.5711","22.8556","22.3333","","0.90%"
"06/29/2023","22.5500","22.7211","22.8941","22.2685","","-0.75%"
"06/28/2023","22.7200","22.8482","22.9818","22.5474","","-0.72%"
"06/27/2023","22.8850","22.7687","23.1105","22.7308","","0.51%"
"06/26/2023","22.7700","22.4450","22.9040","22.3976","","1.58%"
"06/23/2023","22.4155","22.2409","22.6900","22.0993","","0.79%"
"06/22/2023","22.2400","22.6226","22.7383","22.1700","","-1.77%"
"06/21/2023","22.6400","23.2092","23.2125","22.4877","","-2.35%"
"06/20/2023","23.1850","23.9350","24.0410","23.0411","","-3.15%"
"06/19/2023","23.9400","24.1675","24.2001","23.8714","","-0.85%"
"06/16/2023","24.1452","23.8748","24.2197","23.8232","","1.22%"
"06/15/2023","23.8550","23.9443","24.0225","23.2083","","-0.30%"
"06/14/2023","23.9275","23.6275","24.0980","23.6256","","1.05%"
